DT;VARIABLE;VALUE
2017-11-06 11:48:32;feature_35;120
2017-11-06 11:48:32;feature_36;50
2017-11-06 13:30:18;feature_6;170
2017-11-06 13:30:18;feature_9;175
2017-11-06 13:30:18;feature_1;185
2017-11-06 13:30:18;feature_2;190
2017-11-06 13:30:18;feature_34;190
2017-11-06 13:30:18;feature_36;50
2017-11-06 13:30:18;feature_3;800
2017-11-06 13:30:25;feature_4;25
2017-11-06 13:30:25;feature_5;25
2017-11-06 13:30:25;feature_7;25
2017-11-06 13:30:25;feature_8;25
2017-11-06 13:30:25;feature_10;25
2017-11-06 13:30:25;feature_11;25
2017-11-06 13:30:25;feature_12;190
2017-11-06 13:30:25;feature_13;25
2017-11-06 13:30:25;feature_14;25
2017-11-06 13:30:25;feature_15;180
2017-11-06 13:30:25;feature_16;25
2017-11-06 13:30:25;feature_17;25
2017-11-06 13:30:25;feature_18;185
2017-11-06 13:30:25;feature_19;25
2017-11-06 13:30:25;feature_20;25
2017-11-06 13:30:25;feature_21;25
2017-11-06 13:30:25;feature_22;25
2017-11-06 13:30:25;feature_23;185
2017-11-06 13:30:25;feature_24;25
2017-11-06 13:30:25;feature_25;25
2017-11-06 13:30:25;feature_26;190
2017-11-06 13:30:25;feature_27;25
2017-11-06 13:30:25;feature_28;25
2017-11-06 13:30:25;feature_29;25
2017-11-06 13:30:25;feature_30;25
2017-11-06 13:30:25;feature_31;190
2017-11-06 13:30:25;feature_32;25
2017-11-06 13:30:25;feature_33;25
2017-11-06 13:30:25;feature_35;120
2017-11-06 13:33:43;feature_1;185
2017-11-06 13:33:43;feature_2;190
2017-11-06 13:33:43;feature_3;800
2017-11-06 13:33:50;feature_4;25
2017-11-06 13:33:50;feature_5;25
2017-11-06 13:33:50;feature_6;170
2017-11-06 13:33:50;feature_7;25
2017-11-06 13:33:50;feature_8;25
2017-11-06 13:33:50;feature_9;175
2017-11-06 13:33:50;feature_10;25
2017-11-06 13:33:50;feature_11;25
2017-11-06 13:33:50;feature_12;190
2017-11-06 13:33:50;feature_13;25
2017-11-06 13:33:50;feature_14;25
2017-11-06 13:33:50;feature_15;180
2017-11-06 13:33:50;feature_16;25
2017-11-06 13:33:50;feature_17;25
2017-11-06 13:33:50;feature_18;185
2017-11-06 13:33:50;feature_19;25
2017-11-06 13:33:50;feature_20;25
2017-11-06 13:33:50;feature_21;25
2017-11-06 13:33:50;feature_22;25
2017-11-06 13:33:50;feature_23;185
2017-11-06 13:33:50;feature_24;25
2017-11-06 13:33:50;feature_25;25
2017-11-06 13:33:50;feature_26;190
